shift_id,day_of_week,start_time,end_time
sh0001,Monday,08:30:00,16:30:00
sh0002,Monday,16:30:00,21:00:00
sh0003,Tuesday,08:30:00,16:30:00
sh0004,Tuesday,16:30:00,21:00:00
sh0005,Wednesday,08:30:00,16:30:00
sh0006,Wednesday,16:30:00,21:00:00
sh0007,Thursday,08:30:00,16:30:00
sh0008,Thursday,16:30:00,21:00:00
sh0009,Friday,08:30:00,16:30:00
sh0010,Friday,16:30:00,21:00:00
sh0011,Saturday,08:30:00,16:30:00
sh0012,Saturday,16:30:00,21:00:00
sh0013,Sunday,08:30:00,16:30:00
sh0014,Sunday,16:30:00,21:00:00
