Address,Price,Bedrooms,Bathrooms,Property_type,Floor_area,Date,County,zip_code
"Lower Knockfola, Derrybeg,  Donegal",220000,3,2,Detached,15 m²,2023-12-22, Donegal, Donegal
"11 Douglas Street, Cork City,  Cork, T12HY22",490000,5,3,End of Terrace,230 m²,2023-12-22, Cork,T12HY22
"Mellenton House, Carlow Town,  Carlow, R93R796",525000,6,3,Detached,204 m²,2023-12-22, Carlow,R93R796
"16 The Gates, Matthew Hill, Lehenaghmore,  Cork, T12APH0",675000,5,3,Detached,82 m²,2023-12-22, Cork,T12APH0
"Apartment 10, South Quay, The Maltings, Midleton,  Cork, P25Y978",235000,2,2,Townhouse,85 m²,2023-12-22, Cork,P25Y978
"12 Croghtamore Gardens, Pouladuff Road, Pouladuff,  Cork, T12W0D7",295000,3,2,Semi-D,111 m²,2023-12-22, Cork,T12W0D7
"67 Douglas Street, Cork City,  Cork, T12N510",350000,3,2,Terrace,1 ac,2023-12-22, Cork,T12N510
"Site with Full Planning Permission, Blackberry Lane, Delgany,  Wicklow",550000,6,2,Site,555 m²,2023-12-22, Wicklow, Wicklow
"Killough Castle, Killough, Thurles,  Tipperary, E41FY06",5500000,4,5,Detached,255 m²,2023-12-22, Tipperary,E41FY06
"Tullycommons, Castlebar,  Mayo, F23A371",675000,4,4,Detached,192 m²,2023-12-22, Mayo,F23A371
"Bushfield, Loughrea,  Galway, H62R802",495000,4,4,Detached,255 m²,2023-12-22, Galway,H62R802
"Residence & Stable Yard on C. 9.1 Acres, Kilmalum, Blessington,  Wicklow, W91WP37",950000,4,3,Detached,155 m²,2023-12-22, Wicklow,W91WP37
"The Gardeners, Killenard,  Laois, R32H9Y8",575000,4,3,Detached,232 m²,2023-12-22, Laois,R32H9Y8
"Ballybaun, Gort,  Galway, H91C1HR",549000,3,2,Detached,95 m²,2023-12-22, Galway,H91C1HR
"3 William Street Upper, Wexford Town,  Wexford, Y35R2R4",250000,5,5,Detached,115 m²,2023-12-22, Wexford,Y35R2R4
"2 Sydenham Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4, D04T9X4",1950000,6,6,Semi-D,268 m²,2023-12-22,Dublin,D04T9X4
"19 Elgin Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4, D04T2P6",2200000,3,4,Terrace,231 m²,2023-12-22,Dublin,D04T2P6
"Bruce, Gorey,  Wexford, Y25Y030",395000,4,2,Detached,186 m²,2023-12-22, Wexford,Y25Y030
"15 Knox Street, Ballyhaunis,  Mayo, F35VC52",210000,4,3,Townhouse,168 m²,2023-12-22, Mayo,F35VC52
"2 The Crescent, Horsehead, Passage West,  Cork, T12V2RK",495000,4,2,Terrace,587 m²,2023-12-22, Cork,T12V2RK
"Sion House, Lower Lower Main Street, Rush,  Dublin, K56VN50",595000,4,6,Semi-D,200 m²,2023-12-22, Dublin,K56VN50
"Manderlay, Crosstown, Wexford Town,  Wexford, Y35EK5H",1100000,7,4,Detached,630 m²,2023-12-22, Wexford,Y35EK5H
"Caher House, Caher, Ogonelloe,  Clare, V94XTE8",399000,4,6,Detached,170 m²,2023-12-22, Clare,V94XTE8
"5 The Demesne, Adare Manor, Adare,  Limerick, V94A2PW",2250000,6,2,Detached,273 m²,2023-12-22, Limerick,V94A2PW
