year,category,motivation,prizeShare,laureateID,fullName,gender,born,bornCountry,bornCity,Yearborn,age,organizationName,organizationCountry,organizationCity
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,2,1024,Katalin Kariko,female,1955-1-17,Hungary,Szolnok,1955,68,Szeged University,Hungary,Szeged
2023,economics,for having advanced our understanding of womens labour market outcomes,1,1034,Claudia Goldin,female,1946-00-00,USA,New York NY,1946,77,Harvard University,USA,Cambridge MA
2023,peace,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,1,1033,Narges Mohammadi,female,1972-4-21,Iran,Zanjan,1972,51,,,
2023,literature,for his innovative plays and prose which give voice to the unsayable,1,1032,Jon Fosse,male,1959-9-29,Norway,Haugesund,1959,64,,,
2023,chemistry,for the discovery and synthesis of quantum dots,3,1031,Alexei Ekimov,male,1945-00-00,Russia,,1945,78,Nanocrystals Technology Inc.,USA,New York NY
2023,chemistry,for the discovery and synthesis of quantum dots,3,1030,Louis Brus,male,1943-00-00,USA,Cleveland OH,1943,80,Columbia University,USA,New York NY
2023,chemistry,for the discovery and synthesis of quantum dots,3,1029,Moungi Bawendi,male,1961-00-00,France,Paris,1961,62,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,3,1028,Anne L Huillier,female,1958-8-16,France,Paris,1958,65,Lund University,Sweden,Lund
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,3,1027,Ferenc Krausz,male,1962-5-17,Hungary,Mor,1962,61,Max Planck Institute of Quantum Optics,Germany,Garching
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,3,1026,Pierre Agostini,male,1941-7-23,Tunisia,Tunis,1941,82,The Ohio State University,USA,Columbus OH
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,2,1025,Drew Weissman,male,1959-9-7,USA,Lexington MA,1959,64,Penn Institute for RNA Innovations University of Pennsylvania,USA,Philadelphia PA
