Key,Definition
1,1st phase - general contingent
2,Ordinance No.612/93
5,1st phase - special contingent (Azores Island)
7,Holders of other higher courses
10,Ordinance No.854-B/99
15,International student (bachelor)
16,1st phase - special contingent (Madeira Island)
17,2nd phase - general contingent
18,3rd phase - general contingent
26,"Ordinance No.533-A/99, item b2) (Different Plan)"
27,"Ordinance No.533-A/99, item b3 (Other Institution)"
39,Over 23 years old
42,Transfer
43,Change of course
44,Technological specialization diploma holders
51,Change of institution/course
53,Short cycle diploma holders
404,Unknown
404,Unknown
